occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,paleomodel,paleolng,paleolat,geoplate
1094603,occ,NA,NA,138041,n. gen. Otschevia n. sp. pseudoscythica,species,170917,recombined as,Brachypterygius pseudoscythica,species,170917,Tithonian,NA,152.1,145,41485,gp_mid,48.84,44.68,302
1098478,occ,NA,NA,138712,Ophthalmosauridae indet.,family,170908,NA,Ophthalmosauridae,family,170908,Late Tithonian,NA,150.8,145,44446,gp_mid,-42,12.82,104
1103655,occ,NA,NA,72050,Arthropterygius sp.,genus,168510,NA,Arthropterygius,genus,168510,Tithonian,NA,152.1,145,44829,gp_mid,-25.21,-45.79,291
1105158,occ,NA,NA,138291,Sphaerodontes caroli,species,258966,nomen dubium,Ichthyosauria,unranked clade,36543,Middle Oxfordian,Late Oxfordian,161.2,155.7,44921,gp_mid,-40.22,-3.89,206
1108489,occ,NA,NA,134762,Brachypterygius sp.,genus,36544,NA,Brachypterygius,genus,36544,Tithonian,NA,152.1,145,45348,gp_mid,13.37,60.82,309
1108508,occ,NA,NA,79652,Ophthalmosaurus monocharactus,species,260812,NA,Ophthalmosaurus monocharactus,species,260812,Early Tithonian,NA,150.8,145,45358,gp_mid,-25.7,-46.92,291
1108540,occ,NA,NA,140285,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Late Tithonian,NA,150.8,145,45358,gp_mid,-26.16,-46.24,291
1108576,occ,NA,NA,122661,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Late Tithonian,NA,150.8,145,45364,gp_mid,-26.16,-46.24,291
1109785,occ,NA,NA,140543,Ophthalmosaurus natans,species,173198,NA,Ophthalmosaurus natans,species,96492,Late Callovian,Middle Oxfordian,164.7,155.7,45529,gp_mid,-34.49,30.9,101
1121621,occ,NA,NA,142299,Ophthalmosaurus icenicus,species,170921,NA,Ophthalmosaurus icenicus,species,170921,Middle Callovian,NA,164.7,161.2,46193,gp_mid,18.56,35.95,315
1125529,occ,NA,NA,138036,Paraophthalmosaurus n. sp. saratoviensis,species,170913,nomen dubium,Paraophthalmosaurus,genus,170911,Tithonian,NA,152.1,145,46313,gp_mid,50.79,42.31,302
1125530,occ,NA,NA,138036,Brachypterygius n. sp. zhuravlevi,species,170920,recombined as,Grendelius zhuravlevi,species,170920,Tithonian,NA,152.1,145,46313,gp_mid,50.79,42.31,302
1125543,occ,NA,NA,142714,n. gen. Khudiakovia n. sp. calloviensis,species,265520,NA,Khudiakovia calloviensis,species,265520,Callovian,NA,166.1,163.5,46314,gp_mid,57.38,43.74,302
1126028,occ,NA,NA,104859,Ophthalmosauridae indet.,family,170908,NA,Ophthalmosauridae,family,170908,Early Tithonian,NA,150.8,145,46345,gp_mid,-41.55,12.59,104
1126030,occ,NA,NA,104859,Ophthalmosaurus icenicus,species,170921,NA,Ophthalmosaurus icenicus,species,170921,Early Tithonian,NA,150.8,145,46345,gp_mid,-41.55,12.59,104
1126068,occ,NA,NA,142847,Euichthyopterygia indet.,unranked clade,265584,NA,Euichthyopterygia,unranked clade,265584,Early Kimmeridgian,Late Kimmeridgian,155.7,150.8,46350,gp_mid,-40.06,11.79,104
1126069,occ,NA,NA,142848,Euichthyopterygia indet.,unranked clade,265584,NA,Euichthyopterygia,unranked clade,265584,Early Kimmeridgian,Late Kimmeridgian,155.7,150.8,46350,gp_mid,-40.42,10.29,104
1126070,occ,NA,NA,142849,Euichthyopterygia indet.,unranked clade,265584,NA,Euichthyopterygia,unranked clade,265584,Early Kimmeridgian,Late Kimmeridgian,155.7,150.8,46350,gp_mid,-40.95,11.46,104
1126071,occ,NA,NA,142850,Euichthyopterygia indet.,unranked clade,265584,NA,Euichthyopterygia,unranked clade,265584,Early Kimmeridgian,Late Kimmeridgian,155.7,150.8,46350,gp_mid,-40.42,10.29,104
1129475,occ,NA,NA,79652,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Early Tithonian,NA,150.8,145,46429,gp_mid,-25.7,-46.92,291
1129480,occ,NA,NA,140285,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Late Tithonian,NA,150.8,145,46429,gp_mid,-26.16,-46.24,291
1129617,occ,NA,NA,140700,Ophthalmosaurus n. sp. monocharactus,species,260812,NA,Ophthalmosaurus monocharactus,species,260812,Callovian,Oxfordian,166.1,157.3,46456,gp_mid,16.68,33.62,315
1133807,occ,NA,NA,48880,Ichthyosaurus entheciodon,species,171439,NA,Ichthyosaurus entheciodon,species,171439,Tithonian,NA,152.1,145,18724,gp_mid,15.83,32.81,315
1133808,occ,NA,NA,48880,Ichthyosaurus thyreospondylus,species,171440,nomen dubium,Ichthyosaurus,genus,36558,Tithonian,NA,152.1,145,18724,gp_mid,15.83,32.81,315
1133827,occ,NA,NA,65033,Ophthalmosaurus cuvieri,species,36566,species not entered,Ophthalmosaurus,genus,36566,Kimmeridgian,NA,157.3,152.1,18724,gp_mid,16.96,33.12,315
1134128,occ,NA,NA,144329,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Kimmeridgian,Tithonian,157.3,145,46661,gp_mid,-7.26,-72.91,803
1134134,occ,NA,NA,142832,Euichthyopterygia indet.,unranked clade,265584,NA,Euichthyopterygia,unranked clade,265584,Kimmeridgian,NA,157.3,152.1,46663,gp_mid,-37.94,10.38,101
1134139,occ,NA,NA,144332,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Kimmeridgian,Early Tithonian,157.3,145,46663,gp_mid,-41.56,13.35,101
1134415,occ,37873,NA,144398,n. gen. Nannopterygius n. sp. enthekiodon,species,170909,NA,Nannopterygius enthekiodon,species,170909,Kimmeridgian,NA,157.3,152.1,75538,gp_mid,14.2,32.64,315
1134416,occ,NA,NA,24521,Ichthyosauria indet.,unranked clade,36543,NA,Ichthyosauria,unranked clade,36543,Tithonian,NA,152.1,145,46676,gp_mid,23.28,32.05,305
